Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
39708,B005GIF5VU,A1KR1ACVGLLWD7,An admirer of Arthur Guinness,2,2,5,1273622400,Beware : cats become addicts to this ...,"Just like the Whisker Lickins brand , cats seem to have a special preference for these treats ! I've tried different flavors and haven't found one yet that they don't like . All 3 cats agree with the review ."
45008,B0029NTQ1K,A1KR1ACVGLLWD7,An admirer of Arthur Guinness,2,2,5,1273622400,Beware : cats become addicts to this ...,"Just like the Whisker Lickins brand , cats seem to have a special preference for these treats ! I've tried different flavors and haven't found one yet that they don't like . All 3 cats agree with the review ."
47253,B0029O10P4,A1KR1ACVGLLWD7,An admirer of Arthur Guinness,2,2,5,1273622400,Beware : cats become addicts to this ...,"Just like the Whisker Lickins brand , cats seem to have a special preference for these treats ! I've tried different flavors and haven't found one yet that they don't like . All 3 cats agree with the review ."
140111,B0029NIFXK,A1KR1ACVGLLWD7,An admirer of Arthur Guinness,0,0,4,1273622400,Cats love it !,"Cats are happy , so it must be good . The only reason it doesn't get 5 stars is because I prefer cans over pouches because it's easier and less messier to handle the food . Other than that , great product - just ask the cats ."
156571,B0029NIIKK,A1KR1ACVGLLWD7,An admirer of Arthur Guinness,0,0,4,1273622400,Cats love it !,"Cats are happy , so it must be good . The only reason it doesn't get 5 stars is because I prefer cans over pouches because it's easier and less messier to handle the food . Other than that , great product - just ask the cats ."
246855,B0029NIGMA,A1KR1ACVGLLWD7,An admirer of Arthur Guinness,0,0,4,1273622400,Cats love it !,"Cats are happy , so it must be good . The only reason it doesn't get 5 stars is because I prefer cans over pouches because it's easier and less messier to handle the food . Other than that , great product - just ask the cats ."
250007,B0029NII3C,A1KR1ACVGLLWD7,An admirer of Arthur Guinness,0,0,4,1273622400,Cats love it !,"Cats are happy , so it must be good . The only reason it doesn't get 5 stars is because I prefer cans over pouches because it's easier and less messier to handle the food . Other than that , great product - just ask the cats ."
254387,B005GIF5UQ,A1KR1ACVGLLWD7,An admirer of Arthur Guinness,2,2,5,1273622400,Beware : cats become addicts to this ...,"Just like the Whisker Lickins brand , cats seem to have a special preference for these treats ! I've tried different flavors and haven't found one yet that they don't like . All 3 cats agree with the review ."
255222,B0029NVJX8,A1KR1ACVGLLWD7,An admirer of Arthur Guinness,2,2,5,1273622400,Beware : cats become addicts to this ...,"Just like the Whisker Lickins brand , cats seem to have a special preference for these treats ! I've tried different flavors and haven't found one yet that they don't like . All 3 cats agree with the review ."
256882,B0029NGY4M,A1KR1ACVGLLWD7,An admirer of Arthur Guinness,0,0,4,1273622400,Cats love it !,"Cats are happy , so it must be good . The only reason it doesn't get 5 stars is because I prefer cans over pouches because it's easier and less messier to handle the food . Other than that , great product - just ask the cats ."
257307,B0029NLV8G,A1KR1ACVGLLWD7,An admirer of Arthur Guinness,0,0,4,1273622400,Cats love it !,"Cats are happy , so it must be good . The only reason it doesn't get 5 stars is because I prefer cans over pouches because it's easier and less messier to handle the food . Other than that , great product - just ask the cats ."
304012,B0029NVJ4M,A1KR1ACVGLLWD7,An admirer of Arthur Guinness,2,2,5,1273622400,Beware : cats become addicts to this ...,"Just like the Whisker Lickins brand , cats seem to have a special preference for these treats ! I've tried different flavors and haven't found one yet that they don't like . All 3 cats agree with the review ."
308839,B0029NGX34,A1KR1ACVGLLWD7,An admirer of Arthur Guinness,0,0,4,1273622400,Cats love it !,"Cats are happy , so it must be good . The only reason it doesn't get 5 stars is because I prefer cans over pouches because it's easier and less messier to handle the food . Other than that , great product - just ask the cats ."
338087,B0029NVJNI,A1KR1ACVGLLWD7,An admirer of Arthur Guinness,2,2,5,1273622400,Beware : cats become addicts to this ...,"Just like the Whisker Lickins brand , cats seem to have a special preference for these treats ! I've tried different flavors and haven't found one yet that they don't like . All 3 cats agree with the review ."
399664,B005GIF5WY,A1KR1ACVGLLWD7,An admirer of Arthur Guinness,2,2,5,1273622400,Beware : cats become addicts to this ...,"Just like the Whisker Lickins brand , cats seem to have a special preference for these treats ! I've tried different flavors and haven't found one yet that they don't like . All 3 cats agree with the review ."
551148,B000JMBEGI,A1KR1X4ATA8JLS,Y. Guo,3,3,1,1315267200,Really diappointed!,Seriously the most STALE cashews that i've ever had. Don't know if i'm just unlucky but i'm really disappointed with the product. The cashews were NOT edible. It's a shame that the seller would still sell these cashews!
455213,B000TNZWP6,A1KR2L8A7JE0TK,Carrie Francom,1,1,5,1281225600,Beautiful and Unique Fern,Staghorn fern was an amazing value and a beautiful addition to my plants and flowers. I received a very healthy plant that was packaged securely. I suggest the Staghorn fern to anyone looking for a unique piece of greenery.
140980,B004DBS2TI,A1KR2T43K07F8X,Gigi Greer,1,1,5,1326412800,Hard to find,"We have about 20 different varieties of coffees and teas at our house now that we've bought a Keurig.  Cuz you can.  This has become my favorite. Not too strong, not bitter, not flavored or sweet but not too weak.  Just a medium cup of joe.  Impossible to find in the stores.  So here I is."
173923,B005HUVI40,A1KR2T43K07F8X,Gigi Greer,1,1,5,1326412800,Hard to find,"We have about 20 different varieties of coffees and teas at our house now that we've bought a Keurig.  Cuz you can.  This has become my favorite. Not too strong, not bitter, not flavored or sweet but not too weak.  Just a medium cup of joe.  Impossible to find in the stores.  So here I is."
325303,B0033GMSTY,A1KR2T43K07F8X,Gigi Greer,1,1,5,1326412800,Hard to find,"We have about 20 different varieties of coffees and teas at our house now that we've bought a Keurig.  Cuz you can.  This has become my favorite. Not too strong, not bitter, not flavored or sweet but not too weak.  Just a medium cup of joe.  Impossible to find in the stores.  So here I is."
